ID,question,answer
0,"Who is the current prime ministor of England?","Rishi Sunak"
1,"What is the tallest mountain in the world?","Mount Everest"
2,"Which country has the largest population?","China"
3,"Who is the founder of Microsoft?","Bill Gates"
4,"What is the capital city of France?","Paris"
5,"Which planet is known as the Red Planet?","Mars"
6,"Who painted the Mona Lisa?","Leonardo da Vinci"
7,"What is the largest ocean in the world?","Pacific Ocean"
8,"Who wrote the play Romeo and Juliet?","William Shakespeare"
9,"What is the currency of Japan?","Japanese yen"
10,"Who is the current president of the United States?","Joe Biden"